event_id,index_name,announcement_date,effective_date,effective_close_date,event_type,company_name,historical_symbol,canonical_symbol,source_url,source_file,source_page,source_sha256,notes
14,NIFTY 50,2017-08-28,2017-09-29,2017-09-28,EXCLUSION,ACC Ltd.,ACC,ACC,https://niftyindices.com/Press_Release/ind_prs28082017.pdf,ind_prs28082017.pdf,,,
15,NIFTY 50,2017-08-28,2017-09-29,2017-09-28,EXCLUSION,Bank of Baroda,BANKBARODA,BANKBARODA,https://niftyindices.com/Press_Release/ind_prs28082017.pdf,ind_prs28082017.pdf,,,
16,NIFTY 50,2017-08-28,2017-09-29,2017-09-28,EXCLUSION,Tata Power Co. Ltd.,TATAPOWER,TATAPOWER,https://niftyindices.com/Press_Release/ind_prs28082017.pdf,ind_prs28082017.pdf,,,
17,NIFTY 50,2017-08-28,2017-09-29,2017-09-28,EXCLUSION,Tata Motors Ltd DVR,TATAMTRDVR,TATAMTRDVR,https://niftyindices.com/Press_Release/ind_prs28082017.pdf,ind_prs28082017.pdf,,Index returns to 50 constituents,
18,NIFTY 50,2017-08-28,2017-09-29,2017-09-28,INCLUSION,Bajaj Finance Ltd.,BAJFINANCE,BAJFINANCE,https://niftyindices.com/Press_Release/ind_prs28082017.pdf,ind_prs28082017.pdf,,,
19,NIFTY 50,2017-08-28,2017-09-29,2017-09-28,INCLUSION,Hindustan Petroleum Corporation Ltd.,HINDPETRO,HINDPETRO,https://niftyindices.com/Press_Release/ind_prs28082017.pdf,ind_prs28082017.pdf,,,
20,NIFTY 50,2017-08-28,2017-09-29,2017-09-28,INCLUSION,UPL Ltd.,UPL,UPL,https://niftyindices.com/Press_Release/ind_prs28082017.pdf,ind_prs28082017.pdf,,,
21,NIFTY 50,2018-02-21,2018-04-02,2018-03-28,EXCLUSION,Ambuja Cements Ltd.,AMBUJACEM,AMBUJACEM,https://niftyindices.com/Press_Release/ind_prs21022018.pdf,ind_prs21022018.pdf,,,
22,NIFTY 50,2018-02-21,2018-04-02,2018-03-28,EXCLUSION,Aurobindo Pharma Ltd.,AUROPHARMA,AUROPHARMA,https://niftyindices.com/Press_Release/ind_prs21022018.pdf,ind_prs21022018.pdf,,,
23,NIFTY 50,2018-02-21,2018-04-02,2018-03-28,EXCLUSION,Bosch Ltd.,BOSCHLTD,BOSCHLTD,https://niftyindices.com/Press_Release/ind_prs21022018.pdf,ind_prs21022018.pdf,,,
24,NIFTY 50,2018-02-21,2018-04-02,2018-03-28,INCLUSION,Bajaj Finserv Ltd.,BAJAJFINSV,BAJAJFINSV,https://niftyindices.com/Press_Release/ind_prs21022018.pdf,ind_prs21022018.pdf,,,
25,NIFTY 50,2018-02-21,2018-04-02,2018-03-28,INCLUSION,Grasim Industries Ltd.,GRASIM,GRASIM,https://niftyindices.com/Press_Release/ind_prs21022018.pdf,ind_prs21022018.pdf,,,
26,NIFTY 50,2018-02-21,2018-04-02,2018-03-28,INCLUSION,Titan Company Ltd.,TITAN,TITAN,https://niftyindices.com/Press_Release/ind_prs21022018.pdf,ind_prs21022018.pdf,,,
27,NIFTY 50,2018-08-28,2018-09-28,2018-09-27,EXCLUSION,Lupin Ltd.,LUPIN,LUPIN,https://niftyindices.com/Press_Release/ind_prs28082018.pdf,ind_prs28082018.pdf,,,
28,NIFTY 50,2018-08-28,2018-09-28,2018-09-27,INCLUSION,JSW Steel Ltd.,JSWSTEEL,JSWSTEEL,https://niftyindices.com/Press_Release/ind_prs28082018.pdf,ind_prs28082018.pdf,,,
29,NIFTY 50,2019-02-25,2019-03-29,2019-03-28,EXCLUSION,Hindustan Petroleum Corporation Ltd.,HINDPETRO,HINDPETRO,https://niftyindices.com/Press_Release/ind_prs25022019.pdf,ind_prs25022019.pdf,,,
30,NIFTY 50,2019-02-25,2019-03-29,2019-03-28,INCLUSION,Britannia Industries Ltd.,BRITANNIA,BRITANNIA,https://niftyindices.com/Press_Release/ind_prs25022019.pdf,ind_prs25022019.pdf,,,
31,NIFTY 50,2019-08-28,2019-09-27,2019-09-26,EXCLUSION,Indiabulls Housing Finance Ltd.,IBULHSGFIN,IBULHSGFIN,https://niftyindices.com/Press_Release/ind_prs28082019.pdf,ind_prs28082019.pdf,,,
32,NIFTY 50,2019-08-28,2019-09-27,2019-09-26,INCLUSION,Nestle India Ltd.,NESTLEIND,NESTLEIND,https://niftyindices.com/Press_Release/ind_prs28082019.pdf,ind_prs28082019.pdf,,,
33,NIFTY 50,2020-03-16,2020-03-19,2020-03-18,ACCELERATED_EXCLUSION,Yes Bank Ltd.,YESBANK,YESBANK,https://niftyindices.com/Press_Release/ind_prs16032020.pdf,ind_prs16032020.pdf,,Accelerated from Mar 27 due to reconstruction scheme,
34,NIFTY 50,2020-03-16,2020-03-19,2020-03-18,ACCELERATED_INCLUSION,Shree Cement Ltd.,SHREECEM,SHREECEM,https://niftyindices.com/Press_Release/ind_prs16032020.pdf,ind_prs16032020.pdf,,Accelerated from Mar 27,
35,NIFTY 50,2020-07-02,2020-07-31,2020-07-30,EXCLUSION,Vedanta Ltd.,VEDL,VEDL,https://niftyindices.com/Press_Release/ind_prs02072020_1.pdf,ind_prs02072020_1.pdf,,Voluntary delisting,
36,NIFTY 50,2020-07-02,2020-07-31,2020-07-30,INCLUSION,HDFC Life Insurance Company Ltd.,HDFCLIFE,HDFCLIFE,https://niftyindices.com/Press_Release/ind_prs02072020_1.pdf,ind_prs02072020_1.pdf,,,
37,NIFTY 50,2020-08-20,2020-09-25,2020-09-24,EXCLUSION,Bharti Infratel Ltd.,INFRATEL,INFRATEL,https://niftyindices.com/Press_Release/ind_prs20082020.pdf,ind_prs20082020.pdf,,,
38,NIFTY 50,2020-08-20,2020-09-25,2020-09-24,EXCLUSION,Zee Entertainment Enterprises Ltd.,ZEEL,ZEEL,https://niftyindices.com/Press_Release/ind_prs20082020.pdf,ind_prs20082020.pdf,,,
39,NIFTY 50,2020-08-20,2020-09-25,2020-09-24,INCLUSION,Divi's Laboratories Ltd.,DIVISLAB,DIVISLAB,https://niftyindices.com/Press_Release/ind_prs20082020.pdf,ind_prs20082020.pdf,,,
40,NIFTY 50,2020-08-20,2020-09-25,2020-09-24,INCLUSION,SBI Life Insurance Company Ltd.,SBILIFE,SBILIFE,https://niftyindices.com/Press_Release/ind_prs20082020.pdf,ind_prs20082020.pdf,,,
41,NIFTY 50,2021-02-23,2021-03-31,2021-03-30,EXCLUSION,GAIL (India) Ltd.,GAIL,GAIL,https://niftyindices.com/Press_Release/ind_prs23022021.pdf,ind_prs23022021.pdf,,,
42,NIFTY 50,2021-02-23,2021-03-31,2021-03-30,INCLUSION,Tata Consumer Products Ltd.,TATACONSUM,TATACONSUM,https://niftyindices.com/Press_Release/ind_prs23022021.pdf,ind_prs23022021.pdf,,,
43,NIFTY 50,2022-02-24,2022-03-31,2022-03-30,EXCLUSION,Indian Oil Corporation Ltd.,IOC,IOC,https://niftyindices.com/Press_Release/ind_prs24022022_1.pdf,ind_prs24022022_1.pdf,,,
44,NIFTY 50,2022-02-24,2022-03-31,2022-03-30,INCLUSION,Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,APOLLOHOSP,https://niftyindices.com/Press_Release/ind_prs24022022_1.pdf,ind_prs24022022_1.pdf,,,
45,NIFTY 50,2022-09-01,2022-09-30,2022-09-29,EXCLUSION,Shree Cement Ltd.,SHREECEM,SHREECEM,https://niftyindices.com/Press_Release/ind_prs01092022.pdf,ind_prs01092022.pdf,,,
46,NIFTY 50,2022-09-01,2022-09-30,2022-09-29,INCLUSION,Adani Enterprises Ltd.,ADANIENT,ADANIENT,https://niftyindices.com/Press_Release/ind_prs01092022.pdf,ind_prs01092022.pdf,,,
47,NIFTY 50,2023-07-04,2023-07-13,2023-07-12,EXCLUSION,Housing Development Finance Corporation Ltd.,HDFC,HDFC,https://niftyindices.com/Press_Release/ind_prs04072023.pdf,ind_prs04072023.pdf,,Merger with HDFC Bank,
48,NIFTY 50,2023-07-04,2023-07-13,2023-07-12,INCLUSION,LTIMindtree Ltd.,LTIM,LTIM,https://niftyindices.com/Press_Release/ind_prs04072023.pdf,ind_prs04072023.pdf,,,
49,NIFTY 50,2023-07-17,2023-07-20,2023-07-19,INCLUSION,Jio Financial Services Ltd.,JIOFIN,JIOFIN,https://niftyindices.com/Press_Release/ind_prs17072023.pdf,ind_prs17072023.pdf,,Spun-off entity demerger from Reliance,
50,NIFTY 50,2023-09-05,2023-09-07,2023-09-06,EXCLUSION,Jio Financial Services Ltd.,JIOFIN,JIOFIN,https://niftyindices.com/Press_Release/ind_prs05092023.pdf,ind_prs05092023.pdf,,Removed after hitting price bands,
51,NIFTY 50,2024-02-28,2024-03-28,2024-03-27,EXCLUSION,UPL Ltd.,UPL,UPL,https://niftyindices.com/Press_Release/ind_prs28022024.pdf,ind_prs28022024.pdf,,,
52,NIFTY 50,2024-02-28,2024-03-28,2024-03-27,INCLUSION,Shriram Finance Ltd.,SHRIRAMFIN,SHRIRAMFIN,https://niftyindices.com/Press_Release/ind_prs28022024.pdf,ind_prs28022024.pdf,,,
53,NIFTY 50,2024-08-23,2024-09-30,2024-09-27,EXCLUSION,Divi's Laboratories Ltd.,DIVISLAB,DIVISLAB,https://niftyindices.com/Press_Release/ind_prs23082024.pdf,ind_prs23082024.pdf,,,
54,NIFTY 50,2024-08-23,2024-09-30,2024-09-27,EXCLUSION,LTIMindtree Ltd.,LTIM,LTIM,https://niftyindices.com/Press_Release/ind_prs23082024.pdf,ind_prs23082024.pdf,,,
55,NIFTY 50,2024-08-23,2024-09-30,2024-09-27,INCLUSION,Bharat Electronics Ltd.,BEL,BEL,https://niftyindices.com/Press_Release/ind_prs23082024.pdf,ind_prs23082024.pdf,,,
56,NIFTY 50,2024-08-23,2024-09-30,2024-09-27,INCLUSION,Trent Ltd.,TRENT,TRENT,https://niftyindices.com/Press_Release/ind_prs23082024.pdf,ind_prs23082024.pdf,,,
